Edible?,Cap shape,Cap surface,Cap color,Bruises?,Odor,Gill attachment,Gill spacing,Gill size,Gill color,Stalk shape,Stalk root,Stalk surface above ring,Stalk surface below ring,Stalk color above ring,Stalk color below ring,Veil type,Veil color,Ring number,Ring type,Spore print color,Population,Habitat
Poisonous,Flat cap,Smooth cap,White cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,Brown gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Edible,Convex cap,Scaly cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Edible,Flat cap,Fibrous cap,Brown cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Solitary,Grows in urban areas
Edible,Convex cap,Smooth cap,Yellow cap,Bruises,Almond odor,Free gills,Crowded gills,Narrow gills,Brown gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Bell cap,Smooth cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Poisonous,Convex cap,Scaly cap,White cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in urban areas
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Edible,Convex cap,Scaly cap,Brown cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Ping gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Solitary,Grows in paths
Edible,Bell cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in meadows
Edible,Convex cap,Fibrous cap,Yellow cap,Bruises,Anise odor,Free gills,Crowded gills,Narrow gills,White gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Sunken cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Several,Grows in urban areas
Poisonous,Convex cap,Scaly cap,Brown cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,White gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in urban areas
Edible,Convex cap,Fibrous cap,Yellow cap,Bruises,Almond odor,Free gills,Crowded gills,Narrow gills,Ping gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Bell cap,Smooth cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in meadows
Edible,Bell cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Solitary,Grows in paths
Edible,Convex cap,Fibrous cap,Brown cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Gray gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Solitary,Grows in urban areas
Poisonous,Convex cap,Scaly cap,White cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,Ping gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in grasses
Edible,Convex cap,Smooth cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Numerous,Grows in meadows
Edible,Convex cap,Scaly cap,White cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in meadows
Edible,Convex cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in paths
Edible,Flat cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in paths
Edible,Convex cap,Scaly cap,Brown cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Convex cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Bell cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Poisonous,Convex cap,Scaly cap,Brown cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in urban areas
Poisonous,Convex cap,Smooth cap,White cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Several,Grows in urban areas
Edible,Bell cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in meadows
Edible,Flat cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Brown gills,Tapering stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Brown spore print,Abundant,Grows in grasses
Edible,Bell cap,Smooth cap,White cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in grasses
Edible,Convex cap,Smooth cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Numerous,Grows in grasses
Edible,Convex cap,Scaly cap,Brown cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Ping gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Solitary,Grows in paths
Edible,Sunken cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Black gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in urban areas
Edible,Bell cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in meadows
Edible,Bell cap,Smooth cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in meadows
Edible,Bell cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Numerous,Grows in meadows
Edible,Bell cap,Scaly cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Flat cap,Smooth cap,Brown cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Black gills,Tapering stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Black spore print,Abundant,Grows in grasses
Edible,Convex cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Flat cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Numerous,Grows in grasses
Edible,Convex cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Ping gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in urban areas
Edible,Flat cap,Fibrous cap,Yellow cap,Bruises,Anise odor,Free gills,Crowded gills,Narrow gills,Ping gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Bell cap,Scaly cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in meadows
Edible,Flat cap,Fibrous cap,Yellow cap,Bruises,Anise odor,Free gills,Crowded gills,Narrow gills,White gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Convex cap,Scaly cap,Brown cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Ping gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in paths
Edible,Bell cap,Smooth cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Flat cap,Smooth cap,Yellow cap,Bruises,Anise odor,Free gills,Crowded gills,Narrow gills,Ping gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in the woods
Edible,Convex cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Crowded gills,Narrow gills,Brown gills,Tapering stalk,Bulbous base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Purple spore print,Several,Grows in the woods
Edible,Flat cap,Scaly cap,Brown cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Ping gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Solitary,Grows in paths
Poisonous,Convex cap,Scaly cap,Brown cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,White gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in urban areas
Edible,Flat cap,Scaly cap,Brown cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Solitary,Grows in grasses
Edible,Convex cap,Smooth cap,Brown cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Black gills,Tapering stalk,Equal base,Fibrous above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Brown spore print,Scattered,Grows in grasses
Poisonous,Convex cap,Scaly cap,White cap,Bruises,Pungent odor,Free gills,Close gills,Narrow gills,White gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Flat cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Brown gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Solitary,Grows in urban areas
Edible,Convex cap,Fibrous cap,Gray cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Brown gills,Tapering stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Convex cap,Smooth cap,Brown cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Black gills,Tapering stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Black spore print,Scattered,Grows in grasses
Edible,Bell cap,Smooth cap,White cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Convex cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Flat cap,Scaly cap,Brown cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,White gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Solitary,Grows in grasses
Edible,Sunken cap,Fibrous cap,Brown cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Brown gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Several,Grows in urban areas
Edible,Convex cap,Fibrous cap,Brown cap,No Bruises,No odor,Free gills,Close gills,Narrow gills,Brown gills,Enlarging stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Solitary,Grows in urban areas
Edible,Bell cap,Smooth cap,White cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Black gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Scattered,Grows in grasses
Edible,Convex cap,Scaly cap,Yellow cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Numerous,Grows in meadows
Edible,Convex cap,Smooth cap,Brown cap,No Bruises,No odor,Free gills,Crowded gills,Broad gills,Brown gills,Tapering stalk,Equal base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Evanescent ring(s),Brown spore print,Abundant,Grows in grasses
Edible,Convex cap,Smooth cap,White cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Flat cap,Scaly cap,Brown cap,Bruises,Anise odor,Free gills,Close gills,Broad gills,Ping gills,Enlarging stalk,Rooted base,Smooth above ring,Scaly below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
Edible,Convex cap,Smooth cap,Yellow cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Brown gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Black spore print,Numerous,Grows in grasses
Edible,Bell cap,Smooth cap,White cap,Bruises,Almond odor,Free gills,Close gills,Broad gills,Gray gills,Enlarging stalk,Club base,Smooth above ring,Smooth below ring,White above ring,White below ring,Partial veil,White veil,One ring,Pendant ring(s),Brown spore print,Scattered,Grows in grasses
